app_id,review
com.gameloft.android.ANMP.GloftA8HM,"It's a great game, great racing experience, takes time to master, and lots of fun once you get good, fast cars. The only problem is that getting good cars can be a long process unless you're willing to spend real money, and even then, there's a lot of grinding involved in order to obtain currency and get what you want"
com.gameloft.android.ANMP.GloftA8HM,"This game is amazing, but after a while of not playing it I came back to see a big difference in the ui, and it just makes everything slower, and also the way there's character animations now just kinda make it feel a bit more like a pubg ad at the end of races somehow, I don't really know what it is"
com.gameloft.android.ANMP.GloftA8HM,"Super fun, and I really appreciate them keeping this updated and active despite there being a newer version. Controls are easy to make comfortable, fun and easy to play on both PC and mobile, relatively realistic with stats and physics to my knowledge. An interesting variety of maps and race types,"
com.gameloft.android.ANMP.GloftA8HM,"Excellent game, high frame rate, no play limit, and menus are easy to navigate. I highly recommend this game for casual gamers. Just focus on getting a really fast car, and you will have adrenaline speed fun for hours! I wanted to rate this games 5 stars, but I don't like that alot of the cool cars are so expensive and hard to get"
com.gameloft.android.ANMP.GloftA8HM,"Overall, this game is really well designed. The graphics are very realisitic and I love how you made Credits that are just like Coins. Maybe make some different tracks because it's boring just going on the same tracks. Also, can you make an update where you play like a parkour"
com.gameloft.android.ANMP.GloftA8HM,"It's a a awesome game with an imaginative twist, actual cars with real upgrades makes it that much more enjoyable. So many tracks and bonus features, you can never get bored. The bonus features make it that much more possible to gain position against the feirce composition. Have Fun and don't be afraid"
com.gameloft.android.ANMP.GloftA8HM,"This is one game I've been playing for a while. Very addictive lol! I would give it a solid five stars however, I can do without the freezes. Also it would be great if the timer for the boost didn't start before the race begins and stop after the race ends. It's kind of a rip off that the timer star"
com.gameloft.android.ANMP.GloftA8HM,"With all the new improvements and class rework, I would say this game is worth getting. Its fun, action packed, and an overall amazing game. With it being compatible with keyboard, touch, or controller. I'd say this is pretty cross-platform. I will admit it can be very grinding heavy."
com.gameloft.android.ANMP.GloftA8HM,"Between iOS and android ive been Playing Asphalt 8 for years. I would love to give this a 5 star review, but however cannot. My only issue are the Atrocious ads. I would love to pay for something if it were to permanently remove ads. I reached out to customer service through the app and was told that they cant help me"
com.gameloft.android.ANMP.GloftA8HM,"I used to think this was a good game, now I'm not so sure. For one, its really bad when the only way to get credits is by racing or spending actual money. And that brings me to my second point. When you actual do spend your money, the game will say transaction failed because of poor connection even"
com.gameloft.android.ANMP.GloftA8HM,I played this game a year or two after it's release and it was great but now it's changed for the worse. You used to be able to use bikes in normal campaign which they removed and the new menu interface sucks compared to the old one. The adds used to only be after races now they appear evry 5 minuts
com.gameloft.android.ANMP.GloftA8HM,"The graphics are pretty and the controller support is good. Beyond that this game is not worth anyone's time unless you plan on spending massive amounts of real money. Like most ""progress as you go"" race games, you start out with your typical slow beginner car and are supposed to eventually tune it"
com.gameloft.android.ANMP.GloftA8HM,"I love this game, too much maybe. I don't have any problems with it. Some cars are very expensive, but thats expected from a high graphic racing game, especially the best on the appstore (in my opinion.) It'd be nice if there was a way to drive on the levels with no other racers, for practice"
com.gameloft.android.ANMP.GloftA8HM,"Its fun, but the difficulty needs re-adjusted. There are so many paths to take it gets confusing. Also, I bought the car pack for $5 and the cars it gave me aren't even good... The D-class starting car is way better than my purchased D-class, and I even tuned the purchased car more. I feel ripped of"
com.gameloft.android.ANMP.GloftA8HM,"It's a cool game and it runs smoothly during races but it takes forever to load the rest of the features like modifications, features, and the downloaded content for the quick races. I have a cheep phone running it, though. I don't even have service and I have to run on free WiFi, so it's may be my problem"
com.gameloft.android.ANMP.GloftA8HM,"Great game, though be prepared to set your device down and wait 30 sec after some races in career mode. Watching the ad is optional, but doing so will at least double the credits earned (usually more like 10x or 15x) It is a little bit of a pay-to-win"
com.gameloft.android.ANMP.GloftA8HM,"This game is is good, Very good I like the graphics and the racing. It also has good handling so you can win the race it is kind of hard at the same time because you crash a lot but it is still the best game. Also it could need some upgrades because like sometimes bugs and stuff like that."
com.gameloft.android.ANMP.GloftA8HM,"1 of the best racing games I've played on my phone. Great graphics, control's, spectacular sceneries, fabulous cars to drive fast with and do tricks with. Sometimes there is a little bit of a lag with Multi player load screens, and doing the free videos for items. You guys need to bring back the rest"
com.gameloft.android.ANMP.GloftA8HM,"Asphalt 8 is arcade racing game. It has various maps, modes, cars, and fun gameplay experience. Vehicles fall in different categories depending on what each car can offer. Each vehicle can be upgraded to improve its performance in a race. If you upgraded your vehicles high enough, you can be matched"
com.gameloft.android.ANMP.GloftA8HM,"Way too many ads. The cars are cool, the races are fun, but the interrupting ads every 60 to 90 seconds are too much. Update: they changed it again. The pro upgrades are now virtually impossible for those who don't pay to play. I don't spend much time playing any more. Update 5/2020: updates take forever"
com.gameloft.android.ANMP.GloftA8HM,"This is a perfect balance between pay to win and the complete opposite! The game doesnt force you to need to pay for certain vehicles(although they are expensives). Even then, the game is reliant on your skill and not how fast you go."
com.gameloft.android.ANMP.GloftA8HM,"The game itself is well made with nice graphics, controls and a huge variety of cars. Marketing this game as free to play is nothing more than a blatant lie. I have been playing the game with the same car for about a season and a half because saving up enough in game currency for a new car that is a long proces"
com.gameloft.android.ANMP.GloftA8HM,"The game has great graphics, and the controls on PC are simple to learn. The game doesn't allow you to advance in career pass 10 stars. When you go to commence the race for the Audi R8 Tron the game silent crashes. Also I would say that a great deal of finance is needed to gain more advanced vehicle"
com.gameloft.android.ANMP.GloftA8HM,New multi-player sucks!! I have only won once out of over 5 dozen attempts. Used to win or place 2nd on numerous occasions. The new format makes it impossible. Used to love playing this game...until they added all of the ads that pop up when trying to start a race or navigate to different screens.
com.gameloft.android.ANMP.GloftA8HM,"It's a great game, but it glitches many times throughout my experience. For starters, I can only upgrade a feature for a car (Eg: speed, braking) once, before it tells me I need to check my internet connection, although it's working fine."
com.gameloft.android.ANMP.GloftA8HM,"This was a very cool game but after the Feb. 12 update ruined it. Now the game takes forever to load. After it finally loads, I might be able to play for a very short bit and then the game CRASHES!! It repeatedly crashes when I try to restart the app and now I can't even get into the game!"
com.gameloft.android.ANMP.GloftA8HM,The graphics are great. Starting the game is confusing and lacks information on how to proceed. So much so that I uninstalled the game before completing the setup....I think. It took me to a screen to subscribe but didn't tell me anything except how many other had subscribed.
com.gameloft.android.ANMP.GloftA8HM,"Awesome game but...I don't know if it's my tablet or the game it's self but it keeps crashing. With it still being a very good game it needs a bit of work, instead of giving decals we should be able to customize the cars to our liking. The music needs to be dated, (I like to listen to good music)"
com.gameloft.android.ANMP.GloftA8HM,"DON'T DO IT. THE GAME IS DEAD. I can't describe how bad it is now and it isn't one of those things where you can still have fun once you get serious. Earnings are down, every good or decent thing takes stupid amounts real money, cars and event progress was reset, and ever car requires wayyy too much"
com.gameloft.android.ANMP.GloftA8HM,Yikes I miss the old game. The ads aren't that bad in my opinion because I have seen worse but the true problem is that every single car is insanely overpriced. Some cars are double or triple the amount of credits then they were before. Also the career is unrealistic that you have to get every single car
com.gameloft.android.ANMP.GloftA8HM,"A well rounded racing game. The controls are simple, the races are fun. And for a mobile game, this has some of the best graphics I have seen in a long time. four stars only because of some bugs that cause my car to freeze during a multiplayer race. Which is extrememly annoying"
com.gameloft.android.ANMP.GloftA8HM,"This is probably the best free racing game on the play store. I would even say it's better than most payed racing games. The controls are great with a large selection of styles to pick from, the graphics are stunning for mobile, and it runs really well for how good it looks. Only downside is that progres takes too long"
com.gameloft.android.ANMP.GloftA8HM,"Good racing game, fast paced & exciting. The cars are spot on for a game. More than enough to do, events, daily specials, select car races, multiplayer etc. Get to paint the car or do graphics, tuning in 4 areas & a pro mode tuning. Never the less, A few weeks into the game and without spending real"
com.gameloft.android.ANMP.GloftA8HM,"Cars, good. Play, good. Graphics, good. Sound effects, good. Upgrades were strange/unrealistic (16 tires for a tire upgrade, you only have 4 wheels.) 2 yrs. ago, but I dealt with it, part of getting your money."
